Składniki	Складники
Beczka z prochem	Бочка з порохом
Beczka z prochem	Бочка з порохом
Lekki pancerz straży	Легкий обладунок вартового
Lekki pancerz straży	Легкий обладунок вартового
Preparat Ramhy na rdzę	Засіб Рамки для створення іржі
'Zardzewiały' pancerz straży	'Заіржавілий' обладунок вартового
Przeprosiny od Lorenzo	Вибачення Лоренцо
Krew kretoszczura	Кров кротощура
Lista przedmiotów Unicorna	Перелік предметів Юнікорна
Szata Maga Ognia	Мантія мага Вогню
Worek prochu	Мішок пороху
Beczka z prochem	Бочка з порохом
Bełt Grona	Болт Грона
Bełt Arethe	Болт Арета
Pakunek Jona	Пакунок Йона
Klucz do szyfru	Ключ до шифру
Pozwolenie Ulryka	Дозвіл Ульріка
Poduszka podróżnicza	Подушка для подорожей
List od Rosaline	Лист Розаліни
Dziwna notatka z kopalni srebra	Дивна записка зі срібної шахти
Zakrwawiona mapa	Закривавлена мапа
Wyczyszczona mapa	Очищена мапа
Wyrwana kartka z dziennika 1	Вирвана сторінка зі щоденника 1
Wyrwana kartka z dziennika 2	Вирвана сторінка зі щоденника 2
Wyrwana kartka z dziennika 3	Вирвана сторінка зі щоденника 3
Słaby eliksir przemiany	Слабкий еліксир перетворення
Eliksir przemiany	Звичайний еліксир перетворення
Mocny eliksir przemiany	Сильний еліксир перетворення
Szkic powiadomienia o licytacji	Чернетка повідомлення про аукціон
Powiadomienie o licytacji	Повідомлення про аукціон
Sfałszowane powiadomienie o licytacji	Підроблене повідомлення про аукціон
Spis powiadomień o licytacji	Перелік оголошень про аукціон
Ogłoszenie o licytacji	Оголошення аукціону
Zdobiona szkatułka	Прикрашена скринька
Liścik od Południowca	Записка південця
Sakiewka od Południowca	Гаманець південця
Czaszka	Череп
Stara skrzynka	Старовинна скринька
Moja Spowiedź - strona V	Моя сповідь – Сторінка V
Moja Spowiedź - strona I	Моя сповідь – Сторінка I
Moja Spowiedź - strona II	Моя сповідь – Сторінка II
Moja Spowiedź - strona III	Моя сповідь – Сторінка III
Moja Spowiedź - strona IV	Моя сповідь – Сторінка IV
Rutyna patrolowa Arethe	Патруль Арета
Potwierdzenie Einara	Підтвердження Ейнара
Gorące półkole	Розпечене півколо
Półkole	Півколо
Forma	Форма
Referencje od Patracjana	Рекомендація від Патриціана
Referencje od Mateya	Рекомендація від Матея
Referencje od Albyna	Рекомендація від Альбіна
Słodkie wino	Солодке вино
Koszyk z jedzeniem	Кошик з їжею
Dziennik Rodrigo	Щоденник Родріго
Dziwny proszek	Дивний порошок
Suszone wilcze jagody	Сушені вовчі ягоди
Suszone wilcze jagody	Сушені вовчі ягоди
Mieszek z wygraną Stana	Гаманець з виграшем Стена
Potrawka Stana	Страва Стена
Eliksir Javada	Еліксир Джавада
Głowa Fane'a	Голова Фейна
Wabik na szczury	Щуряча приманка
Drewno pracowników stoczni	Деревина робітників корабельні
Lista od Huxlaya	Перелік від Хакслі
Pamiętnik Dacka	Щоденник Дака
Notatka o zwiadowcy	Примітка про розвідника
Brzydka Figurka Innosa	Потворна фігурка Інноса
Pieczęć zwiadowcy	Печатка розвідника
Raport zwiadowczy	Звіт розвідника
Wiadomość dla Rodericha	Повідомлення для Родеріха
Wiadomość dla Lorenzo	Повідомлення для Лоренцо
Informacje o krzykaczach Volkera	Інформація про оповісників Волкера
Przemowa ludzi Lichwiarza	Промова людей Лихваря
Sfałszowane przemówienie ludzi Lichwiarza	Підроблена промова людей Лихваря
Przemowa ludzi Lichwiarza	Промова людей Лихваря
List posłańca	Лист посланця
Pika nowicjusza	Посох послушника
Szata nowicjusza	Вбрання послушника
Dziennik Artura	Щоденник Артура
Parzący ognisty korzeń	Пекучий вогняний корінь
Strawiony parzący ognisty korzeń	Перетравлений пекучий вогняний корінь
Niesprawdzona mikstura	Неперевірене зілля
Niesprawdzona mikstura	Неперевірене зілля
Niesprawdzona mikstura	Неперевірене зілля
Dziennik badań, tom II	Дослідницький журнал. Том II
Dziennik badań, tom III	Дослідницький журнал. Том III
Dziennik badań, tom IV	Дослідницький журнал. Том IV
Niesprawdzona mikstura	Неперевірене зілля
Notka spisana węglem	Записка, написана вугіллям
Ogłoszenie o pracy dla Bodowina	Оголошення про роботу Бодовіна
Warunki kapitulacji	Умови капітуляції
Wybrzuszona księga	Випукла книга
Receptura Dagoberta	Рецепт Дагоберта
Lista przedmiotów Riordiana	Перелік предметів Ріордіана
Mądrość Bogów	Мудрість Богів
Bestiariusz: Cieniostwory	Бестіарій: Мракориси
Astronomia	Астрономія
Vengardu Świt	Світанок Венгарду
Dar od Bogów	Дар Богів
Bitwa o Varrant	Війна у Варанті
Almanach miar alchemicznych	Альманах алхімічних вимірювань
Drewniany moździerz	Дерев'яна ступа
Alembik	Перегінний куб
Kuferek z ziołami	Скринька з травами
Almanach miar alchemicznych	Альманах алхімічних вимірювань
Uzupełniona receptura Dagoberta	Завершений рецепт Дагоберта
Fragment klucza	Фрагмент ключа
Fragment klucza	Фрагмент ключа
Fragment klucza	Фрагмент ключа
Zapasy od Ruperta	Провізія від Руперта
Zapasy od Ruperta	Провізія від Руперта
Piwo od Tomasa	Пиво Томаса
Piwo od Tomasa	Пиво Томаса
Prowiant od Helgi	Провізія від Хельги
Prowiant od Helgi	Провізія від Хельги
Zapasy od Rity	Провізія від Рити
Zapasy od Rity	Провізія від Рити
Prowiant z winnicy Valerio	Провізія з виноградника Валеріо
Prowiant z winnicy Valerio	Провізія з виноградника Валеріо
Wielki pakunek mięsa od Slagera	Великий пакунок м'яса від Слагера
Wielki pakunek mięsa od Slagera	Великий пакунок м'яса від Слагера
Pakunek mięsa od Slagera	Пакунок м'яса від Слагера
Pakunek mięsa od Slagera	Пакунок м'яса від Слагера
Resztki jedzenia od Ernesto	Залишки їжі Ернесто
Resztki jedzenia od Ernesto	Залишки їжі Ернесто
Zapasy od Bastiana	Провізія від Бастіана
Zapasy od Bastiana	Провізія від Бастіана
Skrzynia ryb od Zachary'ego	Ящик з рибою від Захарія
Skrzynia ryb od Zachary'ego	Ящик з рибою від Захарія
Skrzynia z miodami Bevina	Ящик з медом Бевіна
Skrzynia z miodami Bevina	Ящик з медом Бевіна
Wyposażenie od węglarzy	Спорядження вуглярів
Wyposażenie od węglarzy	Спорядження вуглярів
Surowce od Odgara	Сировина від Одгара
Surowce od Odgara	Сировина від Одгара
Zestaw wytrychów od Davisa	Набір відмичок від Девіса
Zestaw wytrychów od Davisa	Набір відмичок від Девіса
Kuferek Eliksirów od Hershlika	Скриня з зіллями від Гершліка
Kuferek eliksirów od Hershlika	Скриня з зіллями від Гершліка
Trofea od Fridy	Трофеї від Фріди
Trofea od Fridy	Трофеї від Фріди
Pakunek od Tengrala	Пакунок від Тенграла
Pakunek od Tengrala	Пакунок від Тенграла
Pakunek od Dimy	Пакунок від Діми
Pakunek od Dimy	Пакунок від Діми
Pakunek od Pablo	Пакунок від Пабло
Pakunek od Pablo	Пакунок від Пабло
Podarunek od Ezekiela	Подарунок від Єзекіїля
Podarunek od Ezekiela	Подарунок від Єзекіїля
Drewno od Knuta	Деревина від Кнута
Drewno od Knuta	Деревина від Кнута
Paczka od Viktora	Пакунок від Віктора
Paczka od Viktora	Пакунок від Віктора
Pakunek od strażników	Пакунок від вартових
Pakunek od najemników	Пакунок від найманців
Liścik od strażników	Лист від вартових
Liścik od najemników	Лист від найманців
Beczka z prochem	Бочка з порохом
Stara waga	Старі ваги
Potęga Równowagi	Сила балансу
Figurka drewnianego ścierwojada	Дерев'яна фігурка падальника
Nadpalona notatka Volkera	Обгоріла записка Волкера
Mikstura	Зілля
Lista ogrodnika	Перелік садівника
Mapa kanałów	Мапа каналізації
Mapa wyspy Archolos	Мапа острова Архолос
Mapa wyspy Archolos ze znacznikami	Мапа острова Архолос з позначками
Mapa wyspy Archolos	Мапа острова Архолос
Mapa wyspy Archolos ze znacznikami	Мапа острова Архолос з позначками
Mapa miasta Archolos	Мапа міста Архолос з позначками
Mapa miasta Archolos	Мапа міста Архолос
Mapa wioski Silbach	Мапа селища Зільбах з позначками
Mapa wioski Silbach	Мапа селища Зільбах
Mapa do skarbu	Мапа скарбів
Lista materiałów na miecz strażnika	Перелік матеріалів для меча вартового
List adresowany do przyjaciela	Лист, адресований другові
Dziwaczny dziennik	Дивний щоденник
Pomięta notka	Зім'ята записка
Dziennik Detlowa	Щоденник Детлоу
Karteczka	Записка
Ryzykowne przedsięwzięcie	Ризикована авантюра
Kroniki Myrtany	Хроніки Міртани
Korytarze Vardhal	Коридори Вардхалу
Tajniki Run Teleportacyjnych	Секрети рун телепортації
Zakrwawiona mapa	Закривавлена мапа
Pamiętnik Wilczego Syna	Щоденник Вовчого Сина
Rozkazy	Накази
Notka od Gumberta	Записка Гумберта
Wspomnienie Łatwiejszych Dni	Спогади про безтурботні дні
Potwierdzenie ukończenia szkolenia cieśli	Свідоцтво про закінчення навчання на слюсаря
Potwierdzenie ukończenia szkolenia kowala	Свідоцтво про закінчення навчання на коваля
Potwierdzenie ukończenia szkolenia alchemika	Свідоцтво про закінчення навчання на алхіміка
Potwierdzenie ukończenia szkolenia rzeźnika	Свідоцтво про закінчення навчання на різника
Potwierdzenie ukończenia szkolenia łuczarza	Свідоцтво про закінчення навчання на лучника
Liścik	Лист
Liścik	Листівка
Materiały na pancerz od Grifa	Матеріали для обладунку від Грифа
Notatka od Kurta	Записка Курта
List od Kurta	Лист Курта
Zlecenie Petry	Замовлення Петри
Strona z dziennika Raciusa	Сторінка зі щоденника Раціуса
Strona z dziennika desperata	Сторінка зі щоденника нещасного
Notatki	Нотатки
Mistrzostwo płatnerzy z Vardhal	Майтерність виготовлення обладунків Вардхалу
Lista przedmiotów od Stone'a	Перелік матеріалів від Стоуна
Podróż z Gildią Kupiecką	Подорожі з Торговою Гільдією
Notka	Записка
Ostatnia wiadomość	Передсмертна записка
Testament Wilka	Вовчий заповіт
Lud Północy	Люди півночі
Szkarłatny Szlak	Багряний слід
Moc Sprawcza: Tom I	Сили, що стоять над нами. Том I
Moc Sprawcza: Tom II	Сили, що стоять над нами. Том II
Błogosławiony Kontynent: Tom I	Благословенний континент. Том I
Błogosławiony Kontynent: Tom II	Благословенний континент. Том II
Błogosławiony Kontynent: Tom III	Благословенний континент. Том III
Błogosławiony Kontynent: Tom IV	Благословенний континент. Том IV
Błogosławiony Kontynent: Tom V	Благословенний континент. Том V
Strona z dziennika: Dzień 1	Сторінка зі щоденника. День 1
Strona z dziennika: Dzień 2	Сторінка зі щоденника. День 2
Strona z dziennika: Dzień 3	Сторінка зі щоденника. День 3
List do Hershlika	Лист до Гершліка
Porzucony	Покинутий
Idiota	Ідіот
Beznadzieja	Безнадійність
Naiwność	Наївність
Determinacja	Рішучість
Ciemność	Пітьма
Zakurzony dziennik Bermara	Запилений щоденник Бермара
Dziennik	Щоденник
O Psotnym Nyordku i Chciwym Królu: Tom I	Про бешкетника Нордека та жадібного короля. Том I
O Psotnym Nyordku i Chciwym Królu: Tom II	Про бешкетника Нордека та жадібного короля. Том II
O Psotnym Nyordku i Chciwym Królu: Tom III	Про бешкетника Нордека та жадібного короля. Том III
Srebrny Dwór: Tom I	Срібний двір. Том I
Srebrny Dwór: Tom II	Срібний двір. Том II
Srebrny Dwór: Tom III	Срібний двір. Том III
Srebrny Dwór: Tom IV	Срібний двір. Том IV
Srebrny Dwór: Tom V	Срібний двір. Том V
Przewodnik obcokrajowca po Archolos: Tom I - Wprowadzenie	Путівник по Архолосу. Том I - Вступ
Przewodnik obcokrajowca po Archolos: Tom II - Miasto	Путівник по Архолосу. Том II - Місто
Przewodnik obcokrajowca po Archolos: Tom III - Wieś Silbach	Путівник по Архолосу. Том III - Село Зільбах.
Przewodnik obcokrajowca po Archolos: Tom IV - Osady rybackie	Путівник по Архолосу. Том IV - Рибальські поселення
Przewodnik obcokrajowca po Archolos: Tom V - Farma Bermara	Путівник по Архолосу. Том V - Ферма Бермара
Przewodnik obcokrajowca po Archolos: Tom VI - Winnice	Путівник по Архолосу. Том VI - Виноградники
Przewodnik obcokrajowca po Archolos: Tom VII - Wilcze Leże	Путівник по Архолосу. Том VII - Вовче Лігво
Przewodnik obcokrajowca po Archolos: Tom VIII - Klasztor	Путівник по Архолосу. Том VIII - Монастир
OBUDŹ SIĘ!	ПРОКИНЬСЯ!
Wygrałem	Я переміг
Zapieczętowany list	Запечатаний лист
Raportu z frontu	Звіт з фронту
Arcanum Marum: Tom I	Арканум Марум. Том I
Arcanum Marum: Tom II	Арканум Марум. Том II
Arcanum Marum: Tom III	Арканум Марум. Том III
Arcanum Marum: Tom IV	Арканум Марум. Том IV
Arcanum Marum: Tom V	Арканум Марум. Том V
Arcanum Marum: Tom VI	Арканум Марум. Том VI
Arcanum Marum: Tom VII	Арканум Марум. Том VII
Arcanum Marum: Tom VIII	Арканум Марум. Том VIII
Wojna Dwóch Braci: Tom I	Війна двох братів. Том I
Wojna Dwóch Braci: Tom II	Війна двох братів. Том II
Wojna Dwóch Braci: Tom III	Війна двох братів. Том III
Wojna Dwóch Braci: Tom IV	Війна двох братів. Том IV
Wojna Dwóch Braci: Tom V	Війна двох братів. Том V
Wojna Dwóch Braci: Tom VI	Війна двох братів. Том VI
Wojna Dwóch Braci: Tom VII	Війна двох братів. Том VII
Wojna Dwóch Braci: Tom VIII	Війна двох братів. Том VIII
Plaga chrząszczy!	Нашестя м'ясних жуків!
Era Tworzenia	Ера Створення
Era Życia	Ера Житя
Era Cudów	Ера Чудес
Era Bogów	Ера Богів
Z Woli Innosa: Tom I	Заповіти Інноса. Том I
Z Woli Innosa: Tom II	Заповіти Інноса. Том II
Z Woli Innosa: Tom III	Заповіти Інноса. Том III
Z Woli Innosa: Tom IV	Заповіти Інноса. Том IV
Z Woli Innosa: Tom V	Заповіти Інноса. Том V
Z Woli Innosa: Tom VI	Заповіти Інноса. Том VI
Z Woli Innosa: Tom VII	Заповіти Інноса. Том VII
Z Woli Innosa: Tom VIII	Заповіти Інноса. Том VIII
Z Woli Innosa: Tom IX	Заповіти Інноса. Том IX
Z Woli Innosa: Tom X	Заповіти Інноса. Том X
Z Woli Innosa: Tom XI	Заповіти Інноса. Том XI
Z Woli Innosa: Tom XII	Заповіти Інноса. Том XII
Z Woli Innosa: Tom XIII	Заповіти Інноса. Том XIII
Z Woli Innosa: Tom XIV	Заповіти Інноса. Том XIV
Błękitne żagle: Tom I	Сині вітрила. Том I
Błękitne żagle: Tom II	Сині вітрила. Том II
Błękitne żagle: Tom III	Сині вітрила. Том III
Błękitne żagle: Tom IV	Сині вітрила. Том IV
Błękitne żagle: Tom V	Сині вітрила. Том V
Błękitne żagle: Tom VI	Сині вітрила. Том VI
Błękitne żagle: Tom VII	Сині вітрила. Том VII
Błękitne żagle: Tom VIII	Сині вітрила. Том VIII
Pod sztandarem króla: Tom I	Під стягом короля. Том I
Pod sztandarem króla: Tom II	Під стягом короля. Том II
Pod sztandarem króla: Tom III	Під стягом короля. Том III
Pod sztandarem króla: Tom IV	Під стягом короля. Том IV
Pod sztandarem króla: Tom V	Під стягом короля. Том V
Pod sztandarem króla: Tom VI	Під стягом короля. Том VI
Pod sztandarem króla: Tom VII	Під стягом короля. Том VII
Pod sztandarem króla: Tom VIII	Під стягом короля. Том VIII
Pod sztandarem króla: Tom IX	Під стягом короля. Том IX
Pod sztandarem króla: Tom X	Під стягом короля. Том X
Splątany język: Tom I	Заплутана мова. Том I
Splątany język: Tom II	Заплутана мова. Том II
Zlecenie porwania Jorna	Замовлення на викрадення Йорна
Oferta Volkera	Пропозиція Волкера
Ogłoszenie Graysona	Оголошення Грейсона
Rodzaje Obrażeń: Tom I	Типи пошкоджень. Том I
Rodzaje Obrażeń: Tom II	Типи пошкоджень. Том II
Rodzaje Obrażeń: Tom III	Типи пошкоджень. Том III
Płynne złoto: Tom I	Рідке золото. Том I
Płynne złoto: Tom II	Рідке золото. Том II
Płynne złoto: Tom III	Рідке золото. Том III
Płynne złoto: Tom IV	Рідке золото. Том IV
Płynne złoto: Tom V	Рідке золото. Том V
Płynne złoto: Tom VI	Рідке золото. Том VI
Statut wsi	Сільський статут
Przemoczony dziennik	Промоклий щоденник
Zakurzony otwarty list	Запилений відкритий лист
Historia rybaka z Wysp Południowych	Історія рибалки з Південних островів
Dziennik pustynnego wędrowcy	Щоденник пустельного мандрівника
Historia łucznika z Khelen	Історія лучника з Хелена
Mądrość Generała Subliego	Мудрість генерала Сублі
O wielkim magu Mikhtarze	Про великого мага Міхтара
Zarządzenie o Kopalni Złota	Постанова про золоту копальню
Jaja dla Bastiana	Яйця для Бастіана
Wiadomość	Послання
Głowy Pełzaczy poszukiwane!	Потрібні голови богомолів!
Plan Vicente	План Вісенте
Zlecenie na płytki pancerza pełzaczy	Замовлення для панцирі повзунів
Sezon łowiecki na cieniostwory!	Сезон полювання на мракорисів!
Potęga Boskiego Światła	Сила Божественного Світла
Podmokłe pismo	Промоклий лист
Nieuprzejmy list	Грубий лист
O postępie!	Про прогрес!
Postanowienie Paladyna	Рішення паладина
Przemyślenia Paladyna	Роздуми паладина
Kły w ciemności: Tom I	Ікла в темряві. Том I
Kły w ciemności: Tom II	Ікла в темряві. Том II
Podpalony dziennik	Обгорілий щоденник
Usmolony liścik	Вимазана записка
Otwarty list	Відкритий лист
Szkic dokumentu	Чернетка документа
Skarby głębin	Скарби глибин
Księga skryby	Книга писаря
Dziwny wiersz	Дивний вірш
Dzieło Mądrych: Tom I	Твори мудреців. Том I
Dzieło Mądrych: Tom II	Твори мудреців. Том II
Manuskrypt zielarski	Манускрипт про трави
Sekret Chramów: Tom I	Таємниця храмів. Том I
Sekret Chramów: Tom II	Таємниця храмів. Том II
Strona z dziennika: Dzień 1	Сторінка зі щоденника. День 1
Strona z dziennika: Dzień 2	Сторінка зі щоденника. День 2
Strona z dziennika: Dzień 3	Сторінка зі щоденника. День 3
Strona z dziennika: Dzień 4	Сторінка зі щоденника. День 4
Strona z dziennika: Dzień 5	Сторінка зі щоденника. День 5
Strona z dziennika: Dzień 6	Сторінка зі щоденника. День 6
Strona z dziennika: Dzień 7	Сторінка зі щоденника. День 7
Zjednoczyciel	Об'єднувач
Prawo i tradycja	Закон і традиція
Stary i poniszczony list	Старий і пошарпаний лист
Lista poległych	Перелік загиблих
Raport z przesłuchań	Протокол допитів
Rozszyfrowany raport	Розшифрований протокол
z przesłuchania Jorna.	допиту Йорна.
Ich działanie jest podobne	Їх дія подібна
do właściwości dorosłej rośliny.	до властивостей дорослої рослини.
Często używane przez	Часто використовується
alchemików do produkcji eliksirów.	алхіміками для виготовлення зілля.
Wyjątkowe trofeum.	Унікальний трофей.
Na pewno można je sprzedać za	Безумовно, можна продати за
dobrą cenę.	хорошу ціну.
Twarda skóra.	Тверда шкіра.
Pewnie ktoś to kupi.	Можливо, хтось її купить.
Niezbyt przyjemna w dotyku gadzia skóra.	Не дуже приємна на дотик шкіра рептилії.
Powinna być trochę warta.	Вона повинна бути досить цінною.
Bardzo rzadkie trofeum.	Дуже рідкісний трофей.
Na pewno ktoś chętnie to kupi.	Впевнений, що хтось із задоволенням її придбає.
Dziwna skóra.	Дивна шкура.
Wygląda, jakby	Виглядає так, ніби
niedźwiedź pobrudził ją miodem.	ведмідь забруднив її медом.
Delikatna skóra.	М'яка на дотик шкура.
Na pewno ktoś chętnie ją kupi.	Напевно, хтось буде радий її придбати.
Bardzo delikatna skóra.	Дуже м'яка на дотик шкура.
Na pewno ktoś chętnie ją kupi.	Напевно, хтось буде радий її придбати.
Na pewno jest nieco warte.	Вона повинна бути досить цінною.
Trofeum, które	Трофей, який
można odsprzedać.	можна продати.
Miękka skórka.	М'яка шкірка.
Pewnie ktoś ją chętnie kupi.	Впевнений, хтось залюбки її придбає.
Futro wilka z Nordmaru.	Хутро нордмарського вовка.
Niezwykle rzadkie na Archolos.	Вкрай рідкісне на Архолосі.
Futro pustynnego wilka.	Хутро пустельного вовка.
Futro orkowego psa.	Хутро орчого гончака.
Tam, gdzie orkowe psy, tam są też orkowie...	Там, де орчі гончаки, там є й орки...
Miła w dotyku skóra.	Приємна на дотик шкура.
Nie każdy dobrze zareaguje na	Не всі добре відреагують,
widok takiego trofeum.	побачивши такий трофей.
Ostre zęby morskiego węża.	Гострі зуби хвилежера.
Pewnie ktoś je chętnie kupi.	Можливо, хтось буде радий їх придбати.
Niebieski pazur topielca.	Синій кіготь морського луркера.
Powinien być nieco wart.	Він повинен чимало коштувати.
Tłusta maź.	Маслянистий слиз.
Lepiej to sprzedać.	Краще його продати.
Twarde chitynowe trofeum.	Трофей з твердого хітину.
Na pewno ktoś je odkupi.	Напевно, хтось це купить.
Twardy róg.	Міцний ріг.
Powinien zainteresować kolekcjonerów.	Повинен зацікавити колекціонерів.
Te jaja zostały złożone przez	Ці яйця були відкладені
królową pełzaczy.	королевою повзунів.
Zawierają o wiele	Вони містять набагато
silniejszą wydzielinę niż wnętrzności	сильніший секрет, ніж нутрощі
dorosłych osobników.	дорослих особин.
Trofeum twarde niczym zbroja.	Трофей, міцний, як обладунок.
Na pewno ma jakieś zastosowanie.	Безумовно, має якесь застосування.
Dziwna kość.	Дивна кістка.
Kiedyś płynęła przez nią magia.	Колись через неї струменіла магія.
Buteleczka zabójczej wydzieliny trutnia.	Пляшка зі смертоносними виділеннями трутня.
Lepiej to komuś sprzedać.	Краще продати її комусь.
Skrzydła wyrwane jako trofeum.	Крила, вирвані в якості трофею.
Dziwny kamień, w którym skrywała się magia.	Дивний камінь, в якому прихована магія.
Trofeum budzące zainteresowanie	Трофей, цікавий лише
jedynie u handlarzy i kolekcjonerów.	торговцям і колекціонерам.
Sakiewka	Гаманець
Mapa wyspy Archolos	Мапа острова Архолос
Paczka	Пакунок
Głowa	Голова
Mikstura	Зілля
Piwo	Пиво
Piwo	Пиво
Woda	Вода
Sieć	Рибальська сітка
Kufel	Кружка
'Ciasto' z łajna	'Пиріг' з гною
Malutka rzepa do animacji	Крихітна ріпа для анімації
Figurka Ścierwojada	Фігурка падальника
Jabłko	Яблуко
Miecz Strażnika	Меч вартового
Miecz	Меч
Miecz	Меч
Miecz	Меч
Miecz	Меч
Gorąca stal	Розпечена сталь
Miecz Wilczego Syna	Меч Вовчого Сина
Krzyk Wojownika	Поклик Воїна
Piwo	Пиво
Piwo	Пиво
Lekarstwo Jorna	Ліки Йорна
Wino	Вино
Nalewka dla Guido - Rahma	Настоянка для Гвідо – Рамха
Nalewka dla Guido - Hershlik	Настоянка для Гвідо – Гершлік
Posążek Innosa	Фігурка Інноса
Posążek Innosa	Фігурка Інноса
Posążek Innosa	Фігурка Інноса
Piwo	Пиво
Kosa do pracy	Робоча коса
Skręt tytoniu	Самокрутка з табаком
Dziwny pierścień	Дивний перстень
Skręt mocnego tytoniu	Самокрутка з міцним табаком
Dziwna moneta	Дивна монета
Zwój	Сувій
Złota moneta	Золота монета
Złota moneta	Золота монета
Sakiewka	Гаманець
Zestaw młotków	Набір молотків
Grudka żelaza	Шматок заліза
Wino Lutza	Вино для Люца
Antidotum	Протиотрута
Sakiewka	Гаманець
Bełt	Болт
Zębate ziele	Снеппер-трава
Pióro	Перо
Narzędzie pracy pisarzy i urzędników.	Інструмент письменників і писарів.
Można nim również przepisać zwoje.	Ним також можна переписувати сувої.
Bełt	Болт
Kusza	Арбалет
Potion	Настоянка
Potion	Настоянка
Menzurka z krwią	Мензурка з кров'ю
Poduszka	Подушка
Skóra wilka	Шкура вовка
Skóra wilka	Шкура вовка
Skóra wilka	Шкура вовка
Skóra wilka	Шкура вовка
Skóra wilka	Шкура вовка
Skóra wilka	Шкура вовка
Skóra wilka	Шкура вовка
Mikstura dla Marvina	Зілля для Марвіна
Wielki miecz strażnika	Великий меч вартового
Rozjemca	Миротворець
Rozjemca	Миротворець
Beczka do Animacji	Бочка для анімації
Papier do Animacji	Папір для анімації
Duża kusza	Великий арбалет
Rozjemca	Миротворець
Skalny korzeń	Кам'яний Корінь
'Zardzewiały' Pancerz straży	'Заіржавілий' обладунок вартового
Woda	Вода
Ryba	Риба
Odrutka	Протиотрута
Eliksir przemiany L	Еліксир перетворення L
Eliksir przemiany M	Еліксир перетворення M
Eliksir przemiany H	Еліксир перетворення H
Życie tier 2	Цілюща рослина
Wino	Вино
Wino	Вино
Czaszka	Череп
Perła	Перлина
Gówno rzut	Гній
Klucz do domu	Ключ від будинку
Magiczny flet	Чарівна флейта
Goblinie jagody	Гоблінські ягоди
Smoczy korzeń	Драконячий корінь
Butelka wody	Пляшка води
Sztaba stali	Сталева заготовка
Patyk	Палиця
Pancerz Renegata	Обладунок відступника
Pusta kartka	Чистий аркуш
Brzydka Figurka Innosa	Потворна фігурка Інноса
Pieczęć Lorenzo	Печатку Лоренцо
Pieczęć Lorenzo	Печатку Лоренцо
Trucizna	Отрута
Bryłka złota	Золотий самородок
Fragment klucza	Фрагмент ключа
Tacka	Таця
Jest w niej kilka złotych monet.	На ній є кілька золотих монет.
Flet	Флейта
Srebrna moneta	Срібна монета
Karteczka	Записка
Scyzor	Складний ніж
Figurka Innosa	Фігурка Інноса
Figurka Innosa	Фігурка Інноса
Wielki miecz strażnika	Великий меч вартового
Amulet	Амулет
Zakrwawiona mapa	Закривавлена мапа
Przemoczone buty	Промокле взуття
Buty, które znalazłem u poszukiwanego.	Взуття, знайдене у розшукуваного.
Możliwe, że należały do jego ofiar.	Можливо, воно належало одній з його жертв.
Potrawka Stana	Страва Стена
Piwo	Пиво
Kruche ciasto z soczystą,	Хрусткий пиріг
owocową masą na wierzchu.	з соковитою фруктовою начинкою зверху.
Pyszna zupa z pokrzyw.	Смачний суп з кропиви.
Złocisty trunek.	Золотистий напій.
Otwierany przez farmerów wyłącznie na ważne okazje.	Відкривається фермерами лише в особливих випадках.
Garść słodkich malin.	Жменя солодкої малини.
Owoc sprowadzany z Wysp Południowych.	Фрукт, привезений з Південних островів.
Przysmak na Archolos!	Справжній делікатес на Архолосі!
Dorodny owoc zwany złotem Archolos.	Стигла ягода, яку ще називають 'золотом Архолосу'.
Tanie piwo, na samotny wieczór.	Дешеве пиво для самотнього вечора.
Ciemne piwo autorskiej receptury Tomasa z Archolos.	Темне пиво за авторським рецептом Томаса з Архолосу.
Mocne piwo o gorzkim smaku.	Міцне пиво з гірким смаком.
Wino rozprowadzane w całej Myrtanie	Вино, поширене по всій Міртані
przez Gildię Kupiecką Araxos.	завдяки Торговій Гільдії Араксос.
Wino rozprowadzane w całej Myrtanie.	Вино, поширене по всій Міртані.
Wino sprowadzane z samego Nordmaru.	Вино привезене з самого Нордмару.
Warzywo uwielbiane przez mieszkańców Archolos.	Улюблений овоч мешканців Архолосу.
Służy wyłącznie do przygotowywania posiłków.	Використовується виключно для приготування їжі.
Ulubione warzywo młodych nowicjuszy.	Улюблений овоч молодих послушників.
Dorodne, zielone warzywo.	Стиглий зелений овоч.
Palący po gardle alkohol.	Обпікаючий горло алкоголь.
Specjał miejscowych o dużej mocy.	Міцний місцевий напій.
Rozgrzewające, czerwone wino z Glenwyr.	Зігріваюче червоне вино з Гленвіра,
doprawione korzennymi przyprawami i odrobiną wódki.	приправлене спеціями та краплею спирту.
Na etykiecie widnieje napis:	На етикетці написано:
'Idealnie zwalcza objawy choroby morskiej.'	'Чудово лікує симптоми морської хвороби'.
Mocne, a jednocześnie	Міцне, але в той же час
delikatne wino.	витончене вино.
Lekkie wino półsłodkie o bursztynowej barwie,	Легке напівсолодке вино бурштинового кольору,
miodowym aromacie i lekkiej nucie cytrusów.	медовий аромат з легким відтінком цитрусових.
Przekąska bogatych mieszczan.	Перекус багатих мешканців міста.
Miód posiada niesamowity aromat	Мед з дивовижним ароматом
i głęboki, złocisty kolor.	і глибоким золотистим кольором.
Niebywale mocno śmierdzi.	Має сильний неприємний запах.
