%s - Poziom %d - Rozdział %d	%s - Рівень %d - Розділ %d
'Ciasto' z łajna	'Пиріг' з гною
Pierścień Maga Wody	Перстень мага Води
Pierścień Myrtańczyka	Перстень міртанця
Pierścień Nordmarczyka	Перстень нордмарця
Pierścień Pirata	Перстень пірата
Pierścień Południowca	Перстень південця
Pierścień Wilczego Syna	Перстень Вовчого Сина
Pierścień Wodnego Kręgu	Перстень Кільця Води
Pierścień drewnianej skóry	Перстень дерев'яної шкіри
Pierścień ducha	Перстень духу
Pierścień gwiezdnej mocy	Перстень астральної сили
Pierścień kamiennej skóry	Перстень кам'яної шкіри
Pierścień maga	Перстень мага
Pierścień magicznej obrony	Перстень захисту від магії
Pierścień magii	Перстень магії
Pierścień mistrza przywołań	Перстень майстра виклику
Pierścień mocy	Перстень міці
Pierścień nietykalności	Перстень невразливості
Pierścień nowicjusza	Перстень послушника
Pierścień odbicia	Перстень відбиття
Pierścień odwagi	Перстень мужності
Pierścień ognia	Перстень захисту від вогню
Pierścień oświecenia	Перстень просвітлення
Pierścień pięściarza	Кулачний перстень
Pierścień potęgi	Перстень влади
Pierścień pożogi	Перстень вогню
Pierścień siły	Перстень сили
Pierścień twardych kości	Перстень міцних кісток
Pierścień uników	Перстень ухиляння
Pierścień wiecznych zwycięstw	Перстень непереможності
Pierścień z Archolos	Перстень Архолосу
Pierścień z fioletowym kamieniem	Перстень з фіолетовим каменем
Pierścień z niebieskim kamieniem	Перстень з синім каменем
Pierścień zdolności	Перстень майстерності
Pierścień zręczności	Перстень спритності
Pierścień złodzieja	Перстень злодія
Pierścień żelaznych kości	Перстень залізних кісток
Pierścień życia	Перстень життя
Pierścień żywotności	Перстень живучості
Pies gończy	Мисливський пес
Pietruszka	Петрушка
Pieśń poległych	Пісня полеглих
Pijaczka	П'яниця
Pijak	П'яниця
Pijany Wilczy Syn	П'яний Вовчий Син
Pijany bezdomny	П'яний безпритульний
Pijany marynarz	П'яний моряк
Pijany rybak	П'яний рибалка
Pika bojowa	Бойовий посох
Pika nowicjusza	Посох послушника
Pika, w którą zostaje zaopatrzony każdy nowicjusz.	Посох, яким забезпечується кожен послушник.
Pikantne kotlety z rybiego mięsa,	Гострі рибні котлети,
Pikantny placek z mięsem	Гострий м'ясний пиріг
Piracka zbroja	Обладунок пірата
Piracki kordelas	Піратська шабля
Pisemna referencja od Albyna.	Письмова рекомендація від Альбіна.
Pisemna zgoda na zabieg Ruuda	Письмова згода на проведення операції Рууда
Pismo do Gubernatora,	Лист до Губернатора,
Pismo jest bardzo niezdarne.	Написано дуже незграбно.
Pismo od Ruuda do Beinarda.	Лист від Рууда до Бейнарда.
Pismo ze zleceniem od Volkera.	Лист з дорученням від Волкера.
Piwo	Пиво
Piwo Wyspiarskie	Острівне пиво
Piwo butelkowe	Пляшка пива
Piwo od Tomasa	Пиво Томаса
Pióra Venzela, spisana na	За авторством Венцеля, написано
Pióro	Перо
Piąty tom z pięciu.	П'ятий том з п'яти.
Pięknie zdobiony młot zabijaki z Przystani.	Красиво орнаментований молот вбивці з Гавані.
Pięściarz	Боксер
Piła	Пила
Placek warzywno-grzybowy	Пиріг з овочами та грибами
Plaga chrząszczy!	Нашестя м'ясних жуків!
Plan Vicente	План Вісенте
Plan ataku	План атаки
Plan dotyczący Ernesto	План, стосовно Ернесто
Po upieczeniu, wygląda zjadliwie.	Після обсмаження виглядає цілком їстівним.
Pobita farmerka	Побита фермерка
Pobity farmer	Побитий фермер
Poborca podatkowy	Податківець
Pochodnia	Смолоскип
Pochodzi wyłącznie z kwiatów bzu.	Збирається виключно з квіток синьої бузини.
Pochodzi z rozbitego statku.	Походить з затонулого корабля.
Pociągnij za dźwignię	Потягнути важіль
Pod Kretoszczurem - Karczma	У Кротощура – Корчма
Pod sztandarem króla: Tom I	Під стягом короля. Том I
Pod sztandarem króla: Tom II	Під стягом короля. Том II
Pod sztandarem króla: Tom III	Під стягом короля. Том III
Pod sztandarem króla: Tom IV	Під стягом короля. Том IV
Pod sztandarem króla: Tom IX	Під стягом короля. Том IX
Pod sztandarem króla: Tom V	Під стягом короля. Том V
Pod sztandarem króla: Tom VI	Під стягом короля. Том VI
Pod sztandarem króla: Tom VII	Під стягом короля. Том VII
Pod sztandarem króla: Tom VIII	Під стягом короля. Том VIII
Pod sztandarem króla: Tom X	Під стягом короля. Том X
Podarunek od Ezekiela	Подарунок від Єзекіїля
Podcinacz Skrzydeł	Крилоріз
Podejrzana handlarka	Підозріла торговка
Podejrzana obywatelka	Підозріла містянка
Podejrzanie wyglądająca figurka brązowego Innosa.	Бронзова фігурка Інноса, що підозріло виглядає
Podejrzanie wyglądająca figurka srebrnego Innosa.	Срібна фігурка Інноса, що підозріло виглядає.
Podejrzanie wyglądająca figurka złotego Innosa.	Золота фігурка Інноса, що підозріло виглядає.
Podejrzany brązowy Innos	Підозріла бронзова фігурка Інноса
Podejrzany obywatel	Підозрілий містянин
Podejrzany srebrny Innos	Підозріла срібна фігурка Інноса
Podejrzany tasak	Підозрілий ніж різника
Podejrzany typ	Підозрілий чоловік
Podejrzany uchodźca	Підозрілий біженець
Podejrzany złoty Innos	Підозріла золота фігурка Інноса
Podmokłe pismo	Промоклий лист
Podniosłem go, bo ładnie błyszczał.	Я взяв його, бо він гарно блищав.
Podobno jest to także składnik trucizn.	Вважається, що вони входять до складу різних отрут.
Podpal beczkę	Підпалити діжку
Podpal skrzynię	Підпалити скриньку
Podpal wóz	Підпалити візок
Podpalony dziennik	Обгорілий щоденник
Podpity rybak	Нетверезий рибалка
Podrzynacz	Горлоріз
Podróż z Gildią Kupiecką	Подорожі з Торговою Гільдією
Podróże i handel w Wilczym Leżu	Подорожі та торгівля в Вовчому лігві
Podróżnik	Подорожній
Podróżnik - Sklep z różnościami	Мандрівник – 1000 Дрібниць
Podróżny	Подорожній
Podstawa diety wielu rybaków.	Основний продукт харчування для багатьох рибалок.
Podstawa mikstur trwałych.	Основа для перманентного зілля.
Podstawowy składnik mikstur leczniczych.	Основний інгредієнт для цілющого зілля.
Podstawowy składnik wykorzystywany w kowalstwie.	Основний інгредієнт, що використовується в ковальстві.
Podstawy alchemii	Основи алхімії
Podstawy kradzieży kieszonkowej	Основи обкрадання
Poduszka	Подушка
Poduszka dla Legrifa	Подушка для Легріфа,
Poduszka podróżnicza	Подушка для подорожей
Podła włócznia	Злий спис
Podłużny metalowy pręt.	Видовжений металевий стрижень.
Podłóż beczkę	Поставити діжку
Podłóż kości	Покласти кістки
Podłóż skrzynkę	Покласти скриньку
Poganiacz Niewolników	Погонич рабів
Pognieciona strona z dziennika.	Зім'ята сторінка зі щоденника.
Pogromca Polnych Bestii	Приборкувач Польових Хижаків
Pogromca cieniostworów	Вбивця тінезвірів
Pogrzebacz	Кочерга
Pokryty grubą warstwą kurzu mieszek.	Гаманець, вкритий товстим шаром пилу.
Pokrzepiający rosół z resztek	Ситний бульйон з недоїдків
Pokój Recona	Кімната Рікона
Polewka z rzecznego mirtu	Суп з річкового мирту
Polna bestia	Польовий хижак
Polna jagoda	Польова ягода
Polny pełzacz	Богомол
Polny pełzacz-wojownik	Богомол-воїн
Pomaga na wiele dolegliwości.	Допомагає при багатьох недугах.
Pomarańczowo-zielony strój	Помаранчево-зелене вбрання
Pomięta notka	Зім'ята записка
Pomniejszy szkielet	Малий скелет
Pomyje	Помиї
Popchnij armatę	Штовхати гармату
Poprawnie spisana wersja testamentu Valerio,	Правильно написана версія заповіту Валеріо,
Popularne warzywo, składnik wielu potraw.	Популярний овоч, інгредієнт для багатьох страв.
Popularne, jasne piwo.	Популярне світле пиво.
Popularny sposób przyrządzania śledzia,	Популярний спосіб приготування оселедця.
Porasta wyłącznie tereny odległe od ludzkich osiedli.	Росте тільки у віддалених від людей місцях.
Porcja gulaszu Marthy	Порція рагу Марти
Porzucony	Покинутий
Posiada znaczniki opisujące najważniejsze miejsca.	Містить позначки, що описують найважливіші місця.
Poskramiacz Trolli	Приборкувач тролів
Posrebrzany miecz	Посрібнений меч
Postanowienie Paladyna	Рішення паладина
Postaw w swoim domu	Розмістіть його у себе вдома
Postaw w warsztacie by móc	Поставте майстерню, щоб ви могли
Postrach kłód	Страх колод
Postrach Żeglarzy	Страх моряків
Poszukaj skarbu	Шукати скарб
Poszukiwacz przygód	Шукач пригод
Posąg Adanosa	Статуя Аданоса
Posążek Innosa	Фігурка Інноса
Posążek Pana Ognia wykonany z brązu.	Фігурка Володаря Вогню з бронзи.
Posępna czaszka ze starej wieży.	Похмурий череп зі старої вежі.
Posłużą za kamuflaż.	Будуть корисними в якості маскування.
Potion	Настоянка
Potrafi wyostrzyć zmysły.	Може загострювати відчуття.
Potrawa często zajadana	Страва, яку часто їдять
Potrawa jedzona tylko przez	Страва, яку можуть з'їсти хіба що
Potrawka Stana	Страва Стена
Potrawka ceniona przez łowców za wyjątkowe	Страва, яку цінують мисливці за унікальні
Potrawka szybkości	Ліниве рагу
Potrawka z dorsza	Тушкована тріска
Potrawka, od której umarł Stan.	Страва, від якої помер Стен.
Potrzebne do stworzenia nowych upraw.	Потрібні для вирощення нового врожаю.
Potwierdzenie Einara	Підтвердження Ейнара
Potwierdzenie ukończenia szkolenia alchemika	Свідоцтво про закінчення навчання на алхіміка
Potwierdzenie ukończenia szkolenia cieśli	Свідоцтво про закінчення навчання на слюсаря
Potwierdzenie ukończenia szkolenia kowala	Свідоцтво про закінчення навчання на коваля
Potwierdzenie ukończenia szkolenia rzeźnika	Свідоцтво про закінчення навчання на різника
Potwierdzenie ukończenia szkolenia łuczarza	Свідоцтво про закінчення навчання на лучника
Potwierdzenie zapłaty za dostawę dla Przystani	Підтвердження оплати доставки у Гавань
Potysz	Potysz
Potęga Boskiego Światła	Сила Божественного Світла
Potęga Równowagi	Сила балансу
Powiadomienie o licytacji	Повідомлення про аукціон
Powinien być nieco wart.	Він повинен чимало коштувати.
Powinien być trochę warty.	Він повинен чимало коштувати.
Powinien zainteresować kolekcjonerów.	Повинен зацікавити колекціонерів.
Powinienem dostarczyć ją Bastianowi.	Треба віднести це Бастіану.
Powinienem ją otworzyć	Я повинен відкрити його
Powinienem zanieść ją do magazynu.	Треба віднести її на склад.
Powinna być trochę warta.	Вона повинна бути досить цінною.
Powinno być trochę warte.	Вона повинна бути досить цінною.
Powinność	Обов'язок
Powszechny napitek na Archolos.	Поширений напій на Архолосі.
Pozbawiona oprawy księga.	Книга без палітурки.
Pozostawił go po sobie duch maga.	Його залишив привид мага.
Pozostałości po potworze.	Рештки монстра.
Pozwolenie Ulryka	Дозвіл Ульріка
Pozwolenie na handel	Дозвіл на торгівлю
Pozyskiwana ze złóż żelaza.	Видобувається з покладів заліза.
Pozłacana kusza	Позолочений арбалет
Południowa brama	Південні ворота
Południowiec	Південець
Południowiec w porównaniu z mieszkańcem północy nie polega tak bardzo na sile fizycznej, preferując zwinność, a gorący klimat jego ojczyzny zmusza go do korzystania z lżejszych i dających większą swobodę ruchów pancerzy. W związku z tym styl walki ludzi południa jest całkowicie inny od tego, do którego jesteśmy przyzwyczajeni.	Південці, порівняно з жителями півночі, не так сильно покладаються на фізичну силу, віддаючи перевагу спритності. А спекотний клімат їх батьківщини змушує використовувати більш легкі обладунки, які дають більшу свободу рухів. Відповідно, стиль ведення бою південців зовсім не схожий на той, до якого ми звикли.
Połykacz ognia	Пожирач вогню
Pożywna i szybka jajecznica z kiełbasą	Поживна та швидка яєчня з ковбасою.
Pożywna zupa o ziołowym zapachu.	Поживний суп з ароматом трав.
Pożywne kluski na słodko z jagodami.	Поживна солодка локшина з ягодами.
Pożywny wywar przygotowany	Поживний бульйон приготовано
Pracownik dźwigu	Кранівник
Prawdopodobnie najsłynniejszym manewrem wywodzącym się z południa jest jednoręczny blok połączony z krokiem wstecz: cofnięcie się pozwala na zmniejszenie siły wrogiego ciosu i umożliwia przyjęcie postawy ułatwiającej wyprowadzenie kontrataku.	Напевно, найвідомішим маневром, що походить з півдня, є блок однією рукою в поєднанні з кроком назад. Крок назад дозволяє бійцю послабити силу удару супротивника, і дає можливість зайняти чудову позицію для проведення контратаки.
Prawidła szachowe	Правила гри в шахи
Prawie strawiony rzeczny mirt	Напівперетравлений річковий мирт
Prawo i tradycja	Закон і традиція
Prażone owady	Смажені комахи
Preferencje gotowania.	Кулінарні вподобання.
Premia do kusznictwa:	Бонус до володіння арбалетом:
Premia do maks. punktów trafień przywołańca:	Бонус до здоров'я викликаних істот:
Premia do obrażeń przywołańca:	Бонус до шкоди викликаних істот:
Premia do odporności przywołańca:	Бонус до захисту викликаних істот:
Premia do walki bronią dwuręczną:	Бонус до володіння дворучною зброєю:
Premia do walki bronią jednoręczną i dwuręczną:	Бонус до володіння одноручною і дворучною зброєю:
Premia do walki bronią jednoręczną:	Бонус до володіння одноручною зброєю:
Premia do walki każdą bronią:	Бонус до володіння всіма видами зброї:
Premia do walki łukiem oraz kuszą:	Бонус до володіння луком і арбалетом:
Preparat Ramhy	Мікстура Рамхи
Preparat Ramhy na rdzę	Засіб Рамки для створення іржі
Preparat na trawienie Ramhy.	Препарат Рамхи для травлення.
Preparat, który przygotowała Ramha.	Засіб, який приготував Рамха.
Proca	Рогатка
Proca używana przez żaboludzi.	Рогатка, яку використовують жаболюди.
Projekt figurki Innosa	Дизайн фігурки Інноса
Prorok	Пророк
Prosta mieszanka mięsa i warzyw	Просте поєднання м'яса та овочів,
Prosta potrawa, dostępna dla każdego,	Проста страва, доступна кожному,
Prosta zupa z roślin zebranych nad rzeką.	Суп річкових рослин.
Proste danie, które znacznie	Проста страва, яка значно
Proste i zachwycające danie.	Проста і надзвичайно смачна страва.
Proste metalowe narzędzie.	Простий металевий інструмент
Proste narzędzie	Простий інструмент
Proste narzędzie,	Простий інструмент
Proste wiosło,	Звичайне весло, якого достатньо
Prosty deser, udoskonalony przez	Простий десерт, доведений до досконалості
Prosty klucz, należąc	Ключ, що належав
Prosty kominek	Звичайний камін
Prosty nóż	Ніж
Prosty schemat, obrazujący, jak	Проста схема, на якій зображено,
Prosty, kremowy koktajl o smaku malinowym.	Простий вершковий коктейль зі смаком малини.
Prosty, warzywny dodatek, często zajadany	Простий овочевий гарнір, який часто
Prowiant od Helgi	Провізія від Хельги
Prowiant z winnicy Valerio	Провізія з виноградника Валеріо
Przebijacz	Пронизувач
Przebrany krzak winogron	Обірваний кущ винограду
Przebudzony golem	Пробуджений голем
Przecier jabłkowy	Яблучне п'юре
Przedmiot przydatny do gotowania,	Пригодиться для приготування їжі,
Przedmiot używany do wytwarzania magicznych zwojów.	Використовується для створення магічних сувоїв.
Przeklęty golem	Проклятий голем
Przeklęty szkielet-goblin	Проклятий скелет-гоблін
Przeklęty troll	Проклятий троль
Przeklęty wilk	Проклятий вовк
Przeklęty zębacz	Проклятий снеппер
Przekąska bogatych mieszczan.	Закуска багатих мешканців міста.
Przemoczona wiadomość	Промоклий лист
Przemoczone buty	Промокле взуття
Przemoczony dziennik	Промоклий щоденник
Przemowa ludzi Lichwiarza	Промова людей Лихваря
Przemytnik	Контрабандист
Przemyślenia Paladyna	Роздуми паладина
Przeor Regen	Настоятель Реген
Przepis	Кулінарний рецепт
Przepis na prosty eliksir regenerujący manę.	Рецепт простого зілля відновлення мани.
Przepis: Trutka na szczury	Рецепт: Щуряча отрута
Przepisany zwój do niczego się nie nadaje...	Переписаний сувій нікуди не годиться...
Przepisałeś zwój!	Ви переписали сувій!
Przeprosiny od Lorenzo	Вибачення Лоренцо
Przepustka do miasta	Перепустка до міста
Przepustka pozwalająca na wejście do miasta.	Перепустка, що дозволяє входити до міста.
Przerdzewiały Krwawy Pazur	Іржавий Кривавий Кіготь
Przerdzewiały Pazur Harpii	Іржавий Кіготь Гарпії
Przerdzewiały, dwuręczny miecz strażnika	Іржавий дворучний меч вартового
Przerdzewiały, solidny miecz dwuręczny	Іржавий міцний дворучний меч
Przerośnięty zębacz	Снеппер-переросток
Przerośnięty ścierwojad	Падальник-переросток
Przerób bełty na strzały. (2 bełty za 1 strzałę)	Переробити болти в стріли. (2 болти в 1 стрілу)
Przerób strzały na bełty. (2 strzały za 1 bełt)	Переробити стріли в болти. (2 стріли в 1 болт)
Przerób wszystkie bełty.	Переробити усі болти.
Przerób wszystkie strzały.	Переробити усі стріли.
Przesuń skrzynie	Перемістити ящики
Przesuń słomę dla Kyle'a	Підстелити солому для Кайла
Przesuń łódkę	Перевернути човен
Przeszukaj	Шукати
Przeszukaj krzaki	Шукати кущі
Przeszukaj ognisko	Оглянути багаття
Przeszukaj worki	Обшукати мішки
Przewodnik	Провідник
Przewodnik obcokrajowca po Archolos: Tom I - Wprowadzenie	Путівник по Архолосу. Том I - Вступ
Przewodnik obcokrajowca po Archolos: Tom II - Miasto	Путівник по Архолосу. Том II - Місто
Przewodnik obcokrajowca po Archolos: Tom III - Wieś Silbach	Путівник по Архолосу. Том III - Село Сільбах.
Przewodnik obcokrajowca po Archolos: Tom IV - Osady rybackie	Путівник по Архолосу. Том IV - Рибальські поселення
Przewodnik obcokrajowca po Archolos: Tom V - Farma Bermara	Путівник по Архолосу. Том V - Ферма Бермара
Przewodnik obcokrajowca po Archolos: Tom VI - Winnice	Путівник по Архолосу. Том VI - Виноградники
Przewodnik obcokrajowca po Archolos: Tom VII - Wilcze Leże	Путівник по Архолосу. Том VII - Вовче Лігво
Przewodnik obcokrajowca po Archolos: Tom VIII - Klasztor	Путівник по Архолосу. Том VIII - Монастир
Przewoźnik	Перевізник
Przewróć książkę	Перекинути книгу
Przez niektórych spożywana do mięsa.	Дехто їсть його з м'ясом.
Przeznaczona do zamiatania kurzu i	Призначена для підмітання пилу
Przybij ogłoszenie	Прибити оголошення
Przybycie Królewskiego Wysłannika	Прибуття Королівського посла
Przyda się do produkcji strzał i łuków.	Знадобиться для виготовлення стріл та луків.
Przydatna do gotowania, wystarczy na wiele potraw.	Використовується в кулінарії, вистачить на багато страв.
Przygotowany przez Bastiana.	Підготував Бастіан.
Przygotowałeś bełty!	Ви виготовили болти!
Przygotowałeś posiłek!	Ви приготували їжу!
Przygotowałeś sproszkowaną rudę!	Ви виготовили рудний порошок!
Przygotowałeś strzały!	Ви виготовили стріли!
Przygotowałeś wytrychy!	Ви виготовили відмички!
Przygotowuje się do czegoś większego.	Він готується до чогось більшого.
Przygotuj krzaki	Підготувати кущі
Przygotuj posiłek.	Приготувати їжу.
Przygotuj pułapkę	Підготувати пастку
Przyjaciel Kusznika	Друг арбалетника
Przykuc	Сидячи
Przypominająca mech roślina	Мохоподібна рослина,
Przyrządzone przez Bodowina lekarstwo	Приготовані Бодовіном ліки
Przysięga	Присяга
Przysmak Korników	Ласощі короїдів
Przysmak na Archolos!	Справжній делікатес на Архолосі!
Przystań	Гавань
Przywraca 10% many co 2 sek.	Відновлює 10% мани кожні 2 секунди.
Przywraca 5% życia co 2 sek.	Відновлює 5% здоров'я кожні 2 секунди.
Przywraca punkty trafień o wartości 150%	Відновлює 150% здоров'я
Przywraca punkty trafień o wartości 200%	Відновлює 200% здоров'я
Przywraca punkty trafień o wartości 250%	Відновлює 250% здоров'я
Przywódca hien cmentarnych	Ватажок розкрадачів могил
Przywódca stada	Ватажок зграї
Przyzwany demon	Викликаний демон
Przyzwany golem	Викликаний голем
Przyzwany niedźwiedź	Викликаний ведмідь
Przyzwany szkielet	Викликаний скелет
Przyzwany szkielet-goblin	Викликаний скелет-гоблін
Przyzwany wilk	Викликаний вовк
Przyzwany zębacz	Викликаний снеппер
Pszczelarz	Пасічник
Puchar wykonany z prawdziwego srebra.	Келих, зроблений з чистого срібла.
Puchar z prawdziwego złota.	Келих з чистого золота.
Puchar z zapomnianej epoki. Jest czysty, ale	Келих із забутої епохи. Він чистий, хоча
Puma	Пума
Punkty trafień + 10	Здоров'я + 10
Punkty trafień + 12	Здоров'я + 12
Punkty trafień + 2	Здоров'я + 2
Punkty trafień + 4	Здоров'я + 4
Punkty trafień + 5	Здоров'я + 5
Punkty trafień + 7	Здоров'я + 7
Pusta kartka	Чистий аркуш
Pusta runa	Пуста руна
Pustynny łuk	Пустельний лук
Puszyste bułki z nadzieniem jagodowym	Пишні булочки з чорничною начинкою.
Puszyste ciasto z dodatkiem mięsa i przypraw.	Пишний пиріг з м'ясом та спеціями.
Pyszna zupa z pokrzyw.	Смачний суп з кропиви.
Pyszny gulasz Marthy,	Смачне рагу Марти,
Pyszny gulasz Marthy.	Смачне рагу Марти.
Pyszny ser, robiony na owczym mleku.	Смачний сир з овечого молока.
Pyszny, aromatyczny gulasz z zebranych grzybów.	Смачне, ароматне рагу з зібраних грибів.
Pytanie brzmi, co się stało z rybakiem?	Питання в тому, що сталося з рибалкою?
Półka z winem	Винна полиця
Półkole	Півколо
Półkole gotowe!	Півколо готове!
Północna brama	Північні ворота
Pędzel	Пензлик
Pękata ryba	Велика рибина
Pęknięta Struna - Karczma	Обірвана Струна – Корчма
Płaszcz podróżnika	Вбрання мандрівника
Płatnerz	Зброяр
Płonące Ostrze Zagłady	Палаючий Клинок Загибелі
Płyn wygląda na gęsty, ale przejrzysty.	Рідина виглядає густою, але прозорою.
Płynne złoto: Tom I	Рідке золото. Том I
Płynne złoto: Tom II	Рідке золото. Том II
Płynne złoto: Tom III	Рідке золото. Том III
Płynne złoto: Tom IV	Рідке золото. Том IV
Płynne złoto: Tom V	Рідке золото. Том V
Płynne złoto: Tom VI	Рідке золото. Том VI
Płyty pancerza pełzacza	Пластини панцира повзуна
Qik'in - 'Jeszcze tylko jedna animacja i do domu...'	Qik'in – 'Ще одна анімація і можна йти додому...'
Ranna uchodźczyni	Поранена біженка
Ranny strażnik	Поранений вартовий
Ranny uchodźca	Поранений біженець
Ranny wilk	Поранений вовк
Rapier	Рапіра
Rapier należał do rodu Ramseya od wieków.	Ця рапіра століттями належала родині Рамзі.
Rapier szlachcica	Рапіра дворянина
Raport dotyczący sytuacji na kontynencie.	Звіт про ситуацію на континенті.
Raport z przesłuchań	Протокол допитів
Raport zwiadowczy	Звіт розвідника
Raportu z frontu	Звіт з фронту
Rdest polny	Спориш польовий
Recepcjonista	Адміністратор
Receptura	Кулінарний рецепт
Receptura Dagoberta	Рецепт Дагоберта
Receptura Dagoberta, uzupełniona przez Riordiana.	Рецепт Дагоберта, доповнений Ріордіаном.
Receptura eliksiru	Рецепт зілля,
Receptura eliksiru na	Рецепт еліксиру, який
Receptura eliksiru na długo	Рецепт зілля, яке на догий час
Receptura eliksiru na krótko	Рецепт зілля, яке на короткий час
Receptura eliksiru zwiększającego	Рецепт зілля, яке тимчасово
Receptura: Długotrwała mikstura Odnowy Many	Рецепт: Довготривале зілля відновлення мани
Receptura: Długotrwała mikstura Odnowy Życia	Рецепт: Довготривале зілля відновлення здоров'я
Receptura: Długotrwały eliksir wzmocnienia ducha	Рецепт: Довготривалий еліксир покращення мани
Receptura: Długotrwały eliksir wzmocnienia siły	Рецепт: Довготривалий еліксир покращення сили
Receptura: Długotrwały eliksir wzmocnienia skóry	Рецепт: Довготривалий еліксир покращення захисту
Receptura: Długotrwały eliksir wzmocnienia zręczności	Рецепт: Довготривалий еліксир покращення спритності
Receptura: Długotrwały eliksir wzmocnienia życia	Рецепт: Довготривалий еліксир покращення здоров'я
Receptura: Eliksir ducha	Рецепт: Еліксир духу
Receptura: Eliksir siły	Рецепт: Еліксир сили
Receptura: Eliksir wzmocnienia ducha	Рецепт: Еліксир покращення мани
Receptura: Eliksir wzmocnienia siły	Рецепт: Еліксир покращення сили
Receptura: Eliksir wzmocnienia skóry	Рецепт: Еліксир покращення захисту
Receptura: Eliksir wzmocnienia zręczności	Рецепт: Еліксир покращення спритності
Receptura: Eliksir wzmocnienia życia	Рецепт: Еліксир покращення здоров'я
Receptura: Eliksir zręczności	Рецепт: Еліксир спритності
Receptura: Eliksir życia	Рецепт: Еліксир життя
Receptura: Mikstura Odnowy Many	Рецепт: Зілля відновлення мани
Receptura: Mikstura Odnowy Życia	Рецепт: Зілля відновлення здоров'я
Receptura: Mikstura kamiennej skóry	Рецепт: Зілля кам'яної шкіри
Receptura: Mikstura oddychania pod wodą	Рецепт: Зілля підводного дихання
Receptura: Mikstura swobodnego spadania	Рецепт: Зілля вільного падіння
Receptura: Mikstura szybkości	Рецепт: Зілля швидкості
Receptura: Silna mikstura szybkości	Рецепт: Довготривале зілля швидкості
Receptura: Wywar z niebieskiego bzu	Рецепт: Відвар з синьої бузини
Referencje od Albyna	Рекомендація від Альбіна
Referencje od Fridy	Рекомендація від Фріди
Referencje od Leona	Рекомендація від Леона
Referencje od Mateya	Рекомендація від Матея
Referencje od Patracjana	Рекомендація від Патриціана
Referencje od Ramony	Рекомендація від Рамони
Referencje od Runara	Рекомендація від Рунара
Referencje od Ruuda	Рекомендація від Рууда
Referencje od Tengrala	Рекомендація від Тенграла
Referencje od Tomasa	Рекомендація від Томаса
Reiisen - 'Dzięki mnie ominął was okropny quest. Nie musicie dziękować'	Reiisen – 'Завдяки мені ти уникнув жахливого квеста. Не треба дякувати.'
Rekrut	Новобранець
Religia	Релігія
Remy oddał ci nadmiar mięsa.	Ремі повернув вам надлишки м'яса.
Renegat	Відступник
Resztki jedzenia od Ernesto	Залишки їжі Ернесто
Revo - 'jeśli nic nie osiągnę w życiu to ten nagrobek to najlepsze co po sobie zostawiłem'	Revo – 'Якщо я нічого не досягну в житті, то цей надгробок – краще, что я залишив після себе'
Riordian potrzebuje do przygotowania	Ріордіану для підготовки
Rodowa Kusza Ramseya	Фамільний арбалет Рамзі
Rodowy Miecz Ramseya	Фамільний меч Рамзі
Rodowy Rapier Ramseya	Фамільна рапіра Рамзі
Rodowy Topór Ramseya	Фамільна сокира Рамзі
Rodowy Łuk Ramseya	Фамільний лук Рамзі
Rodzaj: pas łowcy	Тип: Мисливський пояс
Rodzaje Obrażeń: Tom I	Типи пошкоджень. Том I
Rodzaje Obrażeń: Tom II	Типи пошкоджень. Том II
Rodzaje Obrażeń: Tom III	Типи пошкоджень. Том III
Rogowa muszla	Спіральна мушля
Rozbijacz głów	Розтрощувач голів
Rozbijca	Руйнівник
Rozbitek	Робінзон
Rozcinacz	Розтинач
Rozdrabniacz	Товкач
Rozdział 1	Розділ 1
Rozdział 2	Розділ 2
Rozdział 3	Розділ 3
Rozdział 4	Розділ 4
Rozdział 5	Розділ 5
Rozdział 6	Розділ 6
Rozgniatacz	Дробитель
Rozgniewana obywatelka	Сердита містянка
Rozgrzany do czerwoności kawał metalu.	Розпечений до червоного шматок металу.
Rozgrzany do czerwoności pręt.	Розпечений до червоного стрижень.
Rozgrzewające, czerwone wino z Glenwyr.	Зігріваюче червоне вино з Гленвіра,
Rozjemca	Миротворець
Rozkazy	Накази
Rozlej krew	Змастити кров'ю
Rozpal ognisko	Розпалити багаття
Rozporządzenie Rady Miejskiej Archolos nr 486	Постанова міської ради Архолосу номер 486
Rozporządzenie Rady Miejskiej Archolos nr 487	Постанова міської ради Архолосу номер 487
Rozprawa o różnicy kultur na kontynencie.	Трактат про відмінності різних культур на континенті.
Rozszyfrowany raport	Розшифрований протокол
Rozłupywacz	Розколювач
Roślina lecznicza	Цілюща рослина
Roślina o przyjemnym miętowym zapachu.	Рослина з приємним м'ятним ароматом.
Roślina przypomina ognisty korzeń.	Рослина нагадує вогняний корінь.
Roślina rosnąca na dnie głębokich	Рослина, що росте на дні глибоких
Roślina rosnąca przy brzegach rzek.	Рослина, що росте вздовж берегів річок.
Roślina rosnąca w pobliżu zniszczonych drzew.	Рослини, що ростуть біля повалених дерев
Rośliny	Рослини
Rubinowe ostrze	Рубіновий клинок
Rum	Ром
Runa mocy	Руна Сили
Runa teleportacyjna	Руна телепортації
Runa teleportacyjna do	Руна телепортації до
Runa teleportująca do Przystani Łotrów.	Руна телепортації в Гавань негідників.
